index,inputs,context,topic,org_label,set-0,id,string_label,label
25,"((',', 0, 16, 17),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,",",train,25,4,4
26,"(('suddenly', 0, 18, 26),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,RB,train,26,9,9
27,"(('the', 0, 27, 30),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,DT,train,27,7,7
28,"(('mature', 0, 31, 37),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,JJ,train,28,0,0
29,"(('faces', 0, 38, 43),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,NNS,train,29,1,1
30,"(('of', 0, 44, 46),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,IN,train,30,2,2
31,"(('managers', 0, 47, 55),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,NNS,train,31,1,1
32,"(('boasting', 0, 56, 64),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,VBG,train,32,10,10
33,"(('an', 0, 65, 67),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,DT,train,33,7,7
34,"(('average', 0, 68, 75),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,NN,train,34,3,3
35,"(('of', 0, 76, 78),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,IN,train,35,2,2
36,"(('over', 0, 79, 83),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,IN,train,36,2,2
37,"(('ten', 0, 84, 87),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,CD,train,37,11,11
38,"(('years', 0, 88, 93),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,NNS,train,38,1,1
39,"(('of', 0, 94, 96),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,IN,train,39,2,2
40,"(('professional', 0, 97, 109),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,JJ,train,40,0,0
41,"(('experience', 0, 110, 120),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,NN,train,41,3,3
42,"(('have', 0, 121, 125),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,VBP,train,42,12,12
43,"(('flooded', 0, 126, 133),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,VBN,train,43,6,6
44,"(('in', 0, 134, 136),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,RB,train,44,9,9
45,"(('among', 0, 137, 142),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,IN,train,45,2,2
46,"(('the', 0, 143, 146),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,DT,train,46,7,7
47,"(('young', 0, 147, 152),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,JJ,train,47,0,0
48,"(('people', 0, 153, 159),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,NNS,train,48,1,1
49,"(('populating', 0, 160, 170),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,VBG,train,49,10,10
50,"(('university', 0, 171, 181),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,NN,train,50,3,3
51,"(('campuses', 0, 182, 190),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,NNS,train,51,1,1
52,"(('.', 0, 191, 192),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,.,train,52,8,8
53,"(('In', 0, 0, 2),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,IN,train,53,2,2
54,"(('order', 0, 3, 8),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,NN,train,54,3,3
55,"(('to', 0, 9, 11),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,TO,train,55,13,13
56,"(('attract', 0, 12, 19),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,VB,train,56,14,14
57,"(('this', 0, 20, 24),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,DT,train,57,7,7
58,"(('group', 0, 25, 30),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,NN,train,58,3,3
59,"(('of', 0, 31, 33),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,IN,train,59,2,2
60,"(('seasoned', 0, 34, 42),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,VBN,train,60,6,6
61,"(('adults', 0, 43, 49),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,NNS,train,61,1,1
62,"(('pulling', 0, 50, 57),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,VBG,train,62,10,10
63,"(('in', 0, 58, 60),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,RB,train,63,9,9
64,"(('over', 0, 61, 65),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,IN,train,64,2,2
65,"(('NT$', 0, 66, 69),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,$,train,65,15,15
66,"(('1', 0, 70, 71),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,CD,train,66,11,11
67,"(('million', 0, 72, 79),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,CD,train,67,11,11
68,"(('a', 0, 80, 81),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,DT,train,68,7,7
69,"(('year', 0, 82, 86),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,NN,train,69,3,3
70,"(('back', 0, 87, 91),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,RB,train,70,9,9
71,"(('to', 0, 92, 94),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,IN,train,71,2,2
72,"(('the', 0, 95, 98),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,DT,train,72,7,7
73,"(('ivory', 0, 99, 104),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,NN,train,73,3,3
74,"(('tower', 0, 105, 110),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,NN,train,74,3,3
75,"((',', 0, 111, 112),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,",",train,75,4,4
76,"(('universities', 0, 113, 125),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,NNS,train,76,1,1
77,"(('have', 0, 126, 130),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,VBP,train,77,12,12
78,"(('begun', 0, 131, 136),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,VBN,train,78,6,6
79,"(('to', 0, 137, 139),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,TO,train,79,13,13
80,"(('establish', 0, 140, 149),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,VB,train,80,14,14
81,"(('executive', 0, 150, 159),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,JJ,train,81,0,0
82,"(('MBA', 0, 160, 163),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,NNP,train,82,16,16
83,"(('-LRB-', 0, 164, 169),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,-LRB-,train,83,17,17
84,"(('EMBA', 0, 170, 174),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,NNP,train,84,16,16
85,"(('-RRB-', 0, 175, 180),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,-RRB-,train,85,18,18
86,"(('programs', 0, 181, 189),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,NNS,train,86,1,1
87,"(('.', 0, 190, 191),)","('In order to attract this group of seasoned adults pulling in over NT$ 1 million a year back to the ivory tower , universities have begun to establish executive MBA -LRB- EMBA -RRB- programs .',)",,.,train,87,8,8
88,"(('In', 0, 0, 2),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,IN,train,88,2,2
89,"(('response', 0, 3, 11),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NN,train,89,3,3
90,"((',', 0, 12, 13),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,",",train,90,4,4
91,"(('each', 0, 14, 18),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,DT,train,91,7,7
92,"(('year', 0, 19, 23),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NN,train,92,3,3
93,"(('over', 0, 24, 28),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,IN,train,93,2,2
94,"(('1000', 0, 29, 33),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,CD,train,94,11,11
95,"(('mature', 0, 34, 40),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,JJ,train,95,0,0
96,"(('professionals', 0, 41, 54),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNS,train,96,1,1
97,"(('looking', 0, 55, 62),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,VBG,train,97,10,10
98,"(('to', 0, 63, 65),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,TO,train,98,13,13
99,"(('recharge', 0, 66, 74),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,VB,train,99,14,14
100,"(('their', 0, 75, 80),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,PRP$,train,100,19,19
101,"(('minds', 0, 81, 86),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNS,train,101,1,1
102,"(('and', 0, 87, 90),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,CC,train,102,20,20
103,"(('retool', 0, 91, 97),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,VB,train,103,14,14
104,"(('their', 0, 98, 103),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,PRP$,train,104,19,19
105,"(('know', 0, 104, 108),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NN,train,105,3,3
106,"(('-', 0, 109, 110),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,HYPH,train,106,21,21
107,"(('how', 0, 111, 114),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NN,train,107,3,3
108,"(('compete', 0, 115, 122),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,VBP,train,108,12,12
109,"(('for', 0, 123, 126),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,IN,train,109,2,2
110,"(('a', 0, 127, 128),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,DT,train,110,7,7
111,"(('precious', 0, 129, 137),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,JJ,train,111,0,0
112,"(('few', 0, 138, 141),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,JJ,train,112,0,0
113,"(('openings', 0, 142, 150),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNS,train,113,1,1
114,"(('in', 0, 151, 153),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,IN,train,114,2,2
115,"(('executive', 0, 154, 163),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NN,train,115,3,3
116,"(('degree', 0, 164, 170),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NN,train,116,3,3
117,"(('programs', 0, 171, 179),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNS,train,117,1,1
118,"(('at', 0, 180, 182),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,IN,train,118,2,2
119,"(('top', 0, 183, 186),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,JJ,train,119,0,0
120,"(('institutions', 0, 187, 199),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNS,train,120,1,1
121,"(('such', 0, 200, 204),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,JJ,train,121,0,0
122,"(('as', 0, 205, 207),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,IN,train,122,2,2
123,"(('National', 0, 208, 216),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNP,train,123,16,16
124,"(('Taiwan', 0, 217, 223),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNP,train,124,16,16
125,"(('University', 0, 224, 234),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNP,train,125,16,16
126,"(('-LRB-', 0, 235, 240),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,-LRB-,train,126,17,17
127,"(('NTU', 0, 241, 244),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNP,train,127,16,16
128,"(('-RRB-', 0, 245, 250),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,-RRB-,train,128,18,18
129,"(('and', 0, 251, 254),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,CC,train,129,20,20
130,"(('National', 0, 255, 263),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNP,train,130,16,16
131,"(('Chengchi', 0, 264, 272),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNP,train,131,16,16
132,"(('University', 0, 273, 283),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,NNP,train,132,16,16
133,"(('.', 0, 284, 285),)","('In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .',)",,.,train,133,8,8
134,"(('What', 0, 0, 4),)","('What brings these accomplished business professionals back to the classroom ?',)",,WP,train,134,22,22
135,"(('brings', 0, 5, 11),)","('What brings these accomplished business professionals back to the classroom ?',)",,VBZ,train,135,5,5
136,"(('these', 0, 12, 17),)","('What brings these accomplished business professionals back to the classroom ?',)",,DT,train,136,7,7
137,"(('accomplished', 0, 18, 30),)","('What brings these accomplished business professionals back to the classroom ?',)",,VBN,train,137,6,6
138,"(('business', 0, 31, 39),)","('What brings these accomplished business professionals back to the classroom ?',)",,NN,train,138,3,3
139,"(('professionals', 0, 40, 53),)","('What brings these accomplished business professionals back to the classroom ?',)",,NNS,train,139,1,1
140,"(('back', 0, 54, 58),)","('What brings these accomplished business professionals back to the classroom ?',)",,RB,train,140,9,9
141,"(('to', 0, 59, 61),)","('What brings these accomplished business professionals back to the classroom ?',)",,IN,train,141,2,2
142,"(('the', 0, 62, 65),)","('What brings these accomplished business professionals back to the classroom ?',)",,DT,train,142,7,7
143,"(('classroom', 0, 66, 75),)","('What brings these accomplished business professionals back to the classroom ?',)",,NN,train,143,3,3
144,"(('?', 0, 76, 77),)","('What brings these accomplished business professionals back to the classroom ?',)",,.,train,144,8,8
145,"(('What', 0, 0, 4),)","('What knowledge do they seek that can not be found in society at large ?',)",,WDT,train,145,23,23
146,"(('knowledge', 0, 5, 14),)","('What knowledge do they seek that can not be found in society at large ?',)",,NN,train,146,3,3
147,"(('do', 0, 15, 17),)","('What knowledge do they seek that can not be found in society at large ?',)",,VBP,train,147,12,12
148,"(('they', 0, 18, 22),)","('What knowledge do they seek that can not be found in society at large ?',)",,PRP,train,148,24,24
149,"(('seek', 0, 23, 27),)","('What knowledge do they seek that can not be found in society at large ?',)",,VB,train,149,14,14
150,"(('that', 0, 28, 32),)","('What knowledge do they seek that can not be found in society at large ?',)",,WDT,train,150,23,23
151,"(('can', 0, 33, 36),)","('What knowledge do they seek that can not be found in society at large ?',)",,MD,train,151,25,25
152,"(('not', 0, 37, 40),)","('What knowledge do they seek that can not be found in society at large ?',)",,RB,train,152,9,9
